scenario,variant,replicate,method,target_function,noise_std,depth,width,parameter_count,objective,train_mse,clean_mse,test_mse,violation_rate,training_time_s,objective_evaluations,acceptance_rate
function,sin_pi,1,MC,sin_pi,0.0,1,40,121,0.006441454593749893,0.006441454593749893,0.006441454593749893,0.006131841517925113,0.647,0.13041840838268398,2000.0,0.08990000000000001
function,sin_pi,2,GD,sin_pi,0.0,1,40,121,0.003250562411522329,0.003250562411522329,0.003250562411522329,0.0031197891539250025,0.46,0.19292924995534122,2000.0,
function,sin_pi,2,MC,sin_pi,0.0,1,40,121,0.007383260303703998,0.007383260303703998,0.007383260303703998,0.0070383875068681006,0.6799999999999999,0.13275056653656064,2000.0,0.0873
function,sin_pi,3,GD,sin_pi,0.0,1,40,121,0.002089820326320823,0.002089820326320823,0.002089820326320823,0.002016492345207932,0.315,0.19213854195550084,2000.0,
function,sin_pi,3,MC,sin_pi,0.0,1,40,121,0.005038599700290395,0.005038599700290395,0.005038599700290395,0.004846805045171961,0.588,0.15055277505889536,2000.0,0.0871
function,sin_pi,4,GD,sin_pi,0.0,1,40,121,0.0032569319978717646,0.0032569319978717646,0.0032569319978717646,0.003125755777245492,0.465,0.21465145819820464,2000.0,
function,sin_pi,4,MC,sin_pi,0.0,1,40,121,0.005669793308789696,0.005669793308789696,0.005669793308789696,0.005334577992743664,0.5,0.1288992834277451,2000.0,0.0948
function,sin_pi,5,GD,sin_pi,0.0,1,40,121,0.0021474248401241003,0.0021474248401241003,0.0021474248401241003,0.0020720150909376124,0.32,0.19051508302800357,2000.0,
function,sin_pi,5,MC,sin_pi,0.0,1,40,121,0.005752666000657854,0.005752666000657854,0.005752666000657854,0.005489075908488851,0.599,0.130014258204028,2000.0,0.09040000000000001
function,sin_pi,6,GD,sin_pi,0.0,1,40,121,0.002305827396378898,0.002305827396378898,0.002305827396378898,0.0022216162757435092,0.365,0.19859420810826123,2000.0,
function,sin_pi,6,MC,sin_pi,0.0,1,40,121,0.006807992434388363,0.006807992434388363,0.006807992434388363,0.006452427677755347,0.6279999999999999,0.1275010745972395,2000.0,0.0903
function,sin_pi,7,GD,sin_pi,0.0,1,40,121,0.00245302075248255,0.00245302075248255,0.00245302075248255,0.002361381777431905,0.39,0.1837100840639323,2000.0,
function,sin_pi,7,MC,sin_pi,0.0,1,40,121,0.005171536093570417,0.005171536093570417,0.005171536093570417,0.004941289422799501,0.583,0.12647675848565995,2000.0,0.087
function,sin_pi,8,GD,sin_pi,0.0,1,40,121,0.002255075215898509,0.002255075215898509,0.002255075215898509,0.002174780301912544,0.34,0.2125148749910295,2000.0,
function,sin_pi,8,MC,sin_pi,0.0,1,40,121,0.005721911674343648,0.005721911674343648,0.005721911674343648,0.005436090018274842,0.599,0.12765724174678325,2000.0,0.0875
function,sin_pi,9,GD,sin_pi,0.0,1,40,121,0.0032750829878609735,0.0032750829878609735,0.0032750829878609735,0.003141654442043506,0.465,0.18681220803409815,2000.0,
function,sin_pi,9,MC,sin_pi,0.0,1,40,121,0.006854231811644404,0.006854231811644404,0.006854231811644404,0.006499751861141857,0.645,0.1257524332497269,2000.0,0.0887
function,sin_pi,10,GD,sin_pi,0.0,1,40,121,0.002297298567979264,0.002297298567979264,0.002297298567979264,0.002214195770214977,0.35,0.19094429211691022,2000.0,
function,sin_pi,10,MC,sin_pi,0.0,1,40,121,0.0056023058926257885,0.0056023058926257885,0.0056023058926257885,0.005355891502371113,0.596,0.13250114126130938,2000.0,0.0861
function,sin_pi,11,GD,sin_pi,0.0,1,40,121,0.0031579245805846297,0.0031579245805846297,0.0031579245805846297,0.003029940204189553,0.455,0.19284741603769362,2000.0,
function,sin_pi,11,MC,sin_pi,0.0,1,40,121,0.008190586864674543,0.008190586864674543,0.008190586864674543,0.007841377486083536,0.714,0.12743979976512493,2000.0,0.0764
function,wave_trend,0,GD,wave_trend,0.0,1,40,121,0.030182517226854246,0.030182517226854246,0.030182517226854246,0.028389657520619366,0.84,0.21186291705816984,2000.0,
function,wave_trend,0,MC,wave_trend,0.0,1,40,121,0.09717728167640992,0.09717728167640992,0.09717728167640992,0.09275629045022049,0.9200000000000002,0.13190154982730745,2000.0,0.07239999999999999
function,wave_trend,1,GD,wave_trend,0.0,1,40,121,0.0292842563871567,0.0292842563871567,0.0292842563871567,0.027607862138840738,0.85,0.19325249991379678,2000.0,
function,wave_trend,1,MC,wave_trend,0.0,1,40,121,0.09491238704844984,0.09491238704844984,0.09491238704844984,0.09074464950110361,0.922,0.13312124158255756,2000.0,0.0666
function,wave_trend,2,GD,wave_trend,0.0,1,40,121,0.029465073880898026,0.029465073880898026,0.029465073880898026,0.02774499203261656,0.845,0.19145724992267787,2000.0,
function,wave_trend,2,MC,wave_trend,0.0,1,40,121,0.10111069278316465,0.10111069278316465,0.10111069278316465,0.09667795456336721,0.921,0.1326280583627522,2000.0,0.0671
function,wave_trend,3,GD,wave_trend,0.0,1,40,121,0.028592964224886393,0.028592964224886393,0.028592964224886393,0.026928504946671858,0.835,0.17786837508901954,2000.0,
function,wave_trend,3,MC,wave_trend,0.0,1,40,121,0.09034743636701173,0.09034743636701173,0.09034743636701173,0.08554765639798598,0.9109999999999999,0.12555079995654522,2000.0,0.0742
function,wave_trend,4,GD,wave_trend,0.0,1,40,121,0.032878241147286616,0.032878241147286616,0.032878241147286616,0.030812797739726904,0.83,0.1910696248523891,2000.0,
function,wave_trend,4,MC,wave_trend,0.0,1,40,121,0.12062800797055459,0.12062800797055459,0.12062800797055459,0.1177596794194152,0.9269999999999999,0.1241014666389674,2000.0,0.057699999999999994
function,wave_trend,5,GD,wave_trend,0.0,1,40,121,0.028748904897301076,0.028748904897301076,0.028748904897301076,0.027128236406406856,0.84,0.18534024991095066,2000.0,
function,wave_trend,5,MC,wave_trend,0.0,1,40,121,0.09290538461337756,0.09290538461337756,0.09290538461337756,0.08838609177621203,0.9200000000000002,0.12687057498842477,2000.0,0.0712
function,wave_trend,6,GD,wave_trend,0.0,1,40,121,0.028881654341422886,0.028881654341422886,0.028881654341422886,0.027240218108438127,0.84,0.18176887510344386,2000.0,
function,wave_trend,6,MC,wave_trend,0.0,1,40,121,0.10930965513710836,0.10930965513710836,0.10930965513710836,0.10514413421387998,0.9280000000000002,0.12889133342541753,2000.0,0.067
function,wave_trend,7,GD,wave_trend,0.0,1,40,121,0.026365675540625924,0.026365675540625924,0.026365675540625924,0.024922385017315824,0.835,0.19066420895978808,2000.0,
